Word,Total,monthValue
peter orszag,91,-41
michael bennet,91,-45
proxy fighters,91,-91
uncle sam,90,-46
harry potter,90,-46
matt taibbi,90,-32
mary matalin,90,-48
quinn,90,-66
rodney king,90,14
barton,90,-52
robin hood,90,-62
murkowski,90,-42
gibbs,90,-24
reverend wright,90,-60
rachel,89,-71
ann richards,89,-29
john warner,89,-45
jon corzine,89,-73
bennett,89,-37
hunter,89,-51
kofi annan,89,-41
dred scott,89,-7
mike castle,89,-59
jay carney,89,-67
louis farrakhan,89,-59
sam stein,89,-71
team obama,89,-57
pat toomey,89,-69
mike lee,89,-49
richard m nixon,88,-34
joseph biden,88,-44
kay bailey hutchison,88,-56
darwin,88,-26
dobson,88,-64
ali khamenei,88,-42
hatch,88,-18
dan,88,-64
martin o'malley,88,-52
gary johnson,88,-72
jack kemp,88,4
john maynard keynes,88,-12
todd palin,88,-54
jared loughner,88,26
christmas eve,87,-73
billy graham,87,-41
ron,87,-67
campbell,87,-35
bill nelson,87,-57
seymour hersh,87,-61
street,87,-25
hilda solis,87,-27
justice scalia,87,-47
hassan rouhani,87,-85
wait,86,-34
paul bremer,86,-32
robert,86,-40
prince,86,-20
goldberg,86,-30
ben,86,-54
lapierre,86,-56
steve,86,-40
valentine,86,-48
daniel,86,-38
diane feinstein,86,-42
barak obama,86,-32
steven spielberg,86,-48
upton sinclair,86,-42
coburn,86,-14
hagee,86,-66
yitzhak rabin,86,-32
ross,86,-58
calvin coolidge,86,-40
nikita khrushchev,86,-30
gary langer,86,-80
grayson,86,-64
sheldon whitehouse,86,-34
angle,86,-80
john lennon,85,-43
steve young,85,-51
sandra day,85,-29
morris,85,-19
alexis de tocqueville,85,-39
fitzgerald,85,-27
party,85,-27
elizabeth edwards,85,-45
tom ridge,85,-33
yasser arafat,85,-23
perkins,85,-29
jonathan alter,85,-25
richard trumka,85,-51
fiorina,85,-53
saul alinsky,84,-42
larry,84,-20
kyl,84,-38
andrew,84,-52
peter,84,-20
cornyn,84,-24
ken salazar,84,-44
marc ambinder,84,-60
mike pence,84,-34
lamar smith,84,-60
william ayers,84,-66
bristol palin,84,-6
joe the plumber,84,-66
ann jones,84,-66
president-elect obama,84,-20
media consortium,84,-72
david broder,83,-59
susan b anthony,83,-35
josh marshall,83,-59
sharpton,83,-25
medea benjamin,83,-41
ariel sharon,83,-23
omar khadr,83,-35
mao,83,-39
kelly ayotte,83,-61
tom cruise,82,-12
lugar,82,0
catholics,82,-30
james hansen,82,-40
dalai lama,82,-38
dennis ross,82,-34
chairman,82,-38
malia,82,-56
frank lautenberg,81,-37
TRUE,81,-33
david sirota,81,-53
juan cole,81,-33
ned lamont,81,-61
warner,81,-29
huffington post,81,-29
w bush,81,-51
john podesta,81,-25
louie gohmert,81,-39
rick,81,-57
cindy,81,-45
yoo,81,-59
parkinson,81,-49
douglas macarthur,81,-39
shelby,81,-29
bowles,81,-29
george tiller,81,-53
palgrave macmillan,81,-69
ken cuccinelli,81,-61
judith miller,80,-36
john murtha,80,-32
shell,80,-38
tom vilsack,80,-18
raul grijalva,80,-34
ari fleischer,80,-6
reich,80,-10
richard clarke,80,-48
macy,80,-58
donald,80,-48
tim johnson,80,-28
jp morgan,80,-44
crowley,80,-46
lawrence o'donnell,80,-64
hu jintao,80,-14
tom udall,80,-26
mullen,80,-40
carolyn maloney,79,-37
martin luther king day,79,-9
harriet miers,79,-39
abdullah,79,-43
law,79,-23
conyers,79,-31
scott mcclellan,79,-55
ramadan,79,-43
byron dorgan,79,-45
schmidt,79,-39
kamala harris,79,-25
dmitry medvedev,79,-45
jackie robinson,78,10
olmert,78,-42
mark pryor,78,-30
bono,78,-46
howard wolfson,78,-56
john sununu,78,-44
jon tester,78,-20
daley,78,-10
kim,78,-38
ileana ros-lehtinen,78,-34
bob casey,78,-40
maher,78,-42
joe barton,78,-44
greenberg,78,-12
santa claus,78,-46
glenn,78,-62
admiral mullen,78,-52
adelson,78,-64
tiller,78,-56
liz cheney,78,-50
jane harman,77,-57
sebelius,77,-27
slate,77,-37
george shultz,77,-21
laura,77,-23
eric,77,-41
senate republicans,77,-51
francis,77,-39
charles,77,-37
bobby,77,-29
grant,77,-45
demint,77,-41
bart stupak,77,-55
grover cleveland,77,-25
francis schaeffer,77,-47
nelson rockefeller,77,-47
arpaio,77,-27
umar farouk abdulmutallab,77,-63
howard fineman,76,-26
ed markey,76,-38
ann,76,-50
ed schultz,76,-36
mark foley,76,-36
ralph reed,76,-34
lindsay beyerstein,76,-58
william howard taft,76,-32
john thune,76,-32
ken blackwell,76,-32
christmas,76,-36
secretary gates,76,-38
neville chamberlain,76,-42
mikey weinstein,76,-42
bhutto,76,-46
barry,76,-12
debbie wasserman schultz,76,-52
tom jensen,76,-46
prophet muhammad,76,-38
bibi netanyahu,75,-29
anita hill,75,-35
candy crowley,75,-43
john marshall,75,-29
chris hedges,75,-15
senators,75,-37
hart,75,-43
queen,75,-27
big oil,75,-39
richard reid,75,-41
harkin,75,-29
robert bork,75,-29
wyden,75,-13
pew,75,-29
michael hayden,75,-47
eric shinseki,74,-22
angelina jolie,74,-2
brownback,74,-12
dowd,74,-36
gordon,74,-12
max cleland,74,-40
rose,74,-26
attorney general,74,-30
mario cuomo,74,-36
muhammad ali,74,-8
mother teresa,74,-6
chase,74,-28
menendez,74,-46
jennifer granholm,74,-36
gramm,74,-46
abu zubaydah,74,-54
stan greenberg,74,-38
mcdonnell,74,-30
eric zuesse,74,-64
amy klobuchar,73,-43
russert,73,-59
edward r murrow,73,-13
jim mcgovern,73,-21
walter jones,73,-43
inhofe,73,-33
wolf,73,-29
nation books,73,-47
snowe,73,-55
matthew,73,-25
william jennings bryan,73,-37
jake tapper,73,-33
plato,73,-29
chris hayes,73,-43
joe manchin,73,-45
ellison,72,-32
mel gibson,72,-18
david duke,72,-10
koran,72,-40
ted haggard,72,-30
mark zuckerberg,72,-54
rogers,72,-18
ayman al-zawahiri,72,-10
mayor,72,-24
justice kennedy,72,-32
howard zinn,72,-30
robert mueller,72,-28
chelsea clinton,72,-44
stephen harper,72,-42
will durst,72,-38
evo morales,72,-44
rick davis,72,-56
jack lew,72,-48
morsi,72,-40
rouhani,72,-66
douglas feith,71,-37
chris bowers,71,-55
barbara bush,71,-3
dan rather,71,-25
juan williams,71,-5
oj simpson,71,-13
michael savage,71,-25
faith,71,-13
jeffrey immelt,71,-51
james bond,71,-37
dennis,71,-41
virginia tech,71,-63
jonathan chait,71,-23
security,71,-47
andy worthington,71,-43
medgar evers,71,-29
paterson,71,-51
medvedev,71,-35
david boies,71,-39
bain,71,-51
scarborough,70,-42
oliver stone,70,-20
grace,70,-18
sean penn,70,-22
al capone,70,-24
chris cillizza,70,-40
sherman,70,-28
senator clinton,70,-58
dana perino,70,-48
lamar alexander,70,-38
candidate obama,70,-40
mark halperin,70,-30
james jones,70,-34
lanny davis,70,-44
harry s truman,70,-12
merkel,70,-36
thomas piketty,70,-50
stone,70,-34
aung san suu kyi,70,-20
humphrey,70,-32
big bird,70,-58
robert s mcelvaine,70,-48
stein,70,-24
david barton,70,-34
blasio,70,-68
roy blunt,69,-19
maria cantwell,69,-23
eric alterman,69,-41
michael gerson,69,-23
dinesh d'souza,69,-35
daschle,69,-41
jim bunning,69,-55
madonna,69,-37
alan keyes,69,-41
ej dionne,69,-5
adolph hitler,69,-19
joseph smith,69,-23
caroline,69,9
merry christmas,69,-15
andrew bacevich,69,-15
nawaz sharif,69,-47
vitter,69,-21
johann hari,69,-37
jeremy scahill,69,-11
pearce,69,-49
heller,69,-35
susana martinez,69,-47
roland burris,69,-55
bibi,69,-37
cindy sheehan,68,-36
ellsberg,68,-38
alan dershowitz,68,-14
many republicans,68,-44
pete seeger,68,-28
helen thomas,68,-52
barbara walters,68,-18
eugene robinson,68,-24
roman,68,-4
ashcroft,68,-20
jewish,68,-32
women,68,-18
jeremiah,68,-22
yogi berra,68,-12
paul revere,68,-42
thatcher,68,2
mike honda,68,-32
eric schneiderman,68,-36
ken buck,68,-54
hayden,67,-19
bernstein,67,-21
george herbert walker bush,67,-33
duncan hunter,67,-37
olbermann,67,-45
sessions,67,-43
woody allen,67,-31
lindsay lohan,67,-27
oglala lakota,67,-33
doris kearns goodwin,67,-31
hall,67,-9
christine quinn,67,-25
bill frist,67,-25
chris van hollen,67,-27
westen,67,-25
matthew shepard,67,-23
udall,67,-19
douglas,67,-31
